model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SARIMA,336,24,covid_2020,2,1248.413344412502,2086.946373571028,0.2830700406258777,6.60255020018667,2026-02-06T11:42:42.223114
SARIMA,336,24,covid_2020,3,1467.809484008514,1503.3379309237455,0.3328167646789036,6.860838599968702,2026-02-06T11:42:49.099071
SARIMA,336,24,covid_2020,4,378.0774410552106,436.021788662176,0.0857267323184458,6.627444999990985,2026-02-06T11:42:55.725691
SARIMA,336,24,covid_2020,5,2731.8401876050552,3957.75266093609,0.6194279453594602,6.755683199968189,2026-02-06T11:43:02.483360
SARIMA,336,24,covid_2020,6,2685.776774697966,2855.271225695545,0.608983350048672,5.633439800003544,2026-02-06T11:43:08.110517
SARIMA,336,24,covid_2020,7,635.3930901424527,773.9338438971838,0.1440714717164992,6.832290000049397,2026-02-06T11:43:14.948164
SARIMA,336,24,covid_2020,8,3633.9745833573375,4469.419540356682,0.8239813660662654,6.729283000109717,2026-02-06T11:43:21.676149
SARIMA,336,24,covid_2020,9,2125.909885014944,2315.229843318513,0.4820369793478384,7.030157099943608,2026-02-06T11:43:28.710246
SARIMA,336,168,summer_2023,0,4584.805710974739,5450.6888815523735,1.0395764709469075,6.791933099972084,2026-02-06T11:43:35.491858
SARIMA,336,168,summer_2023,1,32201.084502674283,37109.26302441794,7.301397681437702,7.156872499966994,2026-02-06T11:43:42.657566
SARIMA,336,168,summer_2023,2,13359.15371236792,14701.756020520288,3.0291058654671184,6.397497900063172,2026-02-06T11:43:49.057869
SARIMA,336,168,summer_2023,3,26004.636296931894,29480.749838214928,5.896391196056787,4.457957699894905,2026-02-06T11:43:53.515690
SARIMA,336,168,summer_2023,4,11023.259063993602,13092.788203267382,2.4994561336915773,6.958479899913073,2026-02-06T11:44:00.466976
SARIMA,336,168,summer_2023,5,11216.182864330704,11783.427892601636,2.5432004177810925,3.691374200163409,2026-02-06T11:44:04.160520
SARIMA,336,168,summer_2023,6,28802.21512894905,33315.58396276407,6.530724974350274,6.685577599797398,2026-02-06T11:44:10.838625
SARIMA,336,168,summer_2023,7,16561.914661423252,19658.877057813752,3.7553121945020846,6.30869790003635,2026-02-06T11:44:17.150461
SARIMA,336,168,summer_2023,8,7450.989618957952,9117.433018745149,1.68946602788356,6.145634799962863,2026-02-06T11:44:23.309006
SARIMA,336,168,summer_2023,9,6702.052081186608,9883.019456664524,1.519649051645657,6.161136300070211,2026-02-06T11:44:29.471152
SARIMA,336,168,winter_2022,0,2737.249148486941,3332.8039703136,0.6206543939419206,6.442096200073138,2026-02-06T11:44:35.910498
