model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SeasonalNaive,168,168,winter_2022,6,1788.702380952381,2490.8804214192064,0.4055772536475653,8.999998681247234e-05,2026-02-09T09:51:57.693139
SeasonalNaive,168,168,winter_2022,7,1684.3809523809523,2404.0932282255612,0.38192301192063094,8.740019984543324e-05,2026-02-09T09:51:57.693139
SeasonalNaive,168,168,winter_2022,8,1645.4166666666667,2301.803087229868,0.3730880999986572,8.9599983766675e-05,2026-02-09T09:51:57.693643
SeasonalNaive,168,168,winter_2022,9,1856.422619047619,2658.632179425388,0.42093240075057414,8.9599983766675e-05,2026-02-09T09:51:57.693643
SeasonalNaive,168,168,covid_2020,0,1477.672619047619,1902.0182247762382,0.33505316983166317,7.84001313149929e-05,2026-02-09T09:51:57.695658
SeasonalNaive,168,168,covid_2020,1,1386.7083333333333,1748.516740459372,0.3144275780211524,7.399986498057842e-05,2026-02-09T09:51:57.695658
SeasonalNaive,168,168,covid_2020,2,1368.7619047619048,1739.348270117835,0.31035833582061,9.050010703504086e-05,2026-02-09T09:51:57.696663
SeasonalNaive,168,168,covid_2020,3,1355.797619047619,1741.1945167723493,0.3074187638429047,8.110003545880318e-05,2026-02-09T09:51:57.696663
SeasonalNaive,168,168,covid_2020,4,1506.9404761904761,1964.023612383517,0.3416894762661796,8.359993807971478e-05,2026-02-09T09:51:57.697168
SeasonalNaive,168,168,covid_2020,5,1679.6607142857142,2176.7431178690967,0.38085272699027267,7.910002022981644e-05,2026-02-09T09:51:57.697672
SeasonalNaive,168,168,covid_2020,6,1996.154761904762,2813.5444579154364,0.4526158039538027,8.080014958977699e-05,2026-02-09T09:51:57.697672
SeasonalNaive,168,168,covid_2020,7,2244.8809523809523,3160.7302576943766,0.5090129364884186,8.159992285072803e-05,2026-02-09T09:51:57.697672
SeasonalNaive,168,168,covid_2020,8,2168.809523809524,3115.0018115105945,0.491764208354776,7.770000956952572e-05,2026-02-09T09:51:57.697672
SeasonalNaive,168,168,covid_2020,9,2080.875,3067.8109624275216,0.47182559640498706,7.730000652372837e-05,2026-02-09T09:51:57.698677
SeasonalNaive,336,24,summer_2023,0,2671.1666666666665,3314.36913303271,0.605670597992249,2.0600156858563423e-05,2026-02-09T09:51:57.699839
SeasonalNaive,336,24,summer_2023,1,6730.333333333333,6898.95465511503,1.5260616514708305,2.0799925550818443e-05,2026-02-09T09:51:57.699839
SeasonalNaive,336,24,summer_2023,2,6010.833333333333,6340.13651272589,1.362919455705401,2.1200161427259445e-05,2026-02-09T09:51:57.699839
SeasonalNaive,336,24,summer_2023,3,7383.625,7505.996483368037,1.6741915152307432,1.910002902150154e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,summer_2023,4,4479.5,5268.1058186663895,1.0156990492442552,1.6399892047047615e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,summer_2023,5,5607.625,6521.66752385206,1.271494448268404,1.8700025975704193e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,summer_2023,6,7182.041666666667,7538.95422400658,1.6284837353423283,1.9899802282452583e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,summer_2023,7,2599.2916666666665,3015.1350646916853,0.5893733842040069,2.0799925550818443e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,summer_2023,8,3466.125,3761.3434601216622,0.785922506320291,2.0200153812766075e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,summer_2023,9,3282.1666666666665,3653.1769393228137,0.7442110866825582,2.410006709396839e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,winter_2022,0,6378.041666666667,7168.196725234783,1.4461816847580262,2.2300053387880325e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,winter_2022,1,5273.041666666667,5638.54651409977,1.195629737126616,2.159993164241314e-05,2026-02-09T09:51:57.700839
SeasonalNaive,336,24,winter_2022,2,1357.7916666666667,1607.7547361667657,0.3078709018651872,2.2300053387880325e-05,2026-02-09T09:51:57.700839
