model,missing_rate,window,mae,rmse,mase
Chronos-2,0.0,7,844.5068359375,1124.8179777152998,0.19148672627346644
Chronos-2,0.0,8,1338.6155598958333,1521.5816473505577,0.30352283770281596
Chronos-2,0.0,9,705.9112955729166,832.0807163813098,0.1600610406885125
Chronos-2,0.05,0,822.3361002604166,969.6070072989288,0.18645964844150767
Chronos-2,0.05,1,1110.1466471354167,1192.6588718788796,0.2517189181866593
Chronos-2,0.05,2,894.0105794270834,988.6707406264456,0.20271139536519572
Chronos-2,0.05,3,1272.6805013020833,1425.7995093916325,0.288572469062223
Chronos-2,0.05,4,746.9189453125,952.8364325210465,0.1693592728242947
Chronos-2,0.05,5,823.4440104166666,1169.504270323717,0.1867108602491539
Chronos-2,0.05,6,716.2513020833334,837.2304193275005,0.1624055735117762
Chronos-2,0.05,7,849.87744140625,1120.0304853931054,0.19270447800211368
Chronos-2,0.05,8,1365.228515625,1554.384485396753,0.30955716158532387
Chronos-2,0.05,9,769.6575520833334,878.484908123938,0.17451511193095268
Chronos-2,0.1,0,807.7967122395834,943.4629601666112,0.18316293171210626
Chronos-2,0.1,1,1069.5315755208333,1166.7982624006797,0.24250970072401398
Chronos-2,0.1,2,811.9736328125,899.9598666044888,0.1841100227389352
Chronos-2,0.1,3,1428.3889973958333,1547.1054656670537,0.32387841201158674
Chronos-2,0.1,4,756.7503255208334,971.9875712784017,0.17158847776465924
Chronos-2,0.1,5,914.38525390625,1316.8224439330459,0.20733122737706106
Chronos-2,0.1,6,680.8408203125,822.5669583183203,0.15437646475679986
Chronos-2,0.1,7,830.6013997395834,1098.68842547235,0.1883337542173105
Chronos-2,0.1,8,1289.2872721354167,1473.008937072446,0.29233795211757163
Chronos-2,0.1,9,683.556640625,830.4738865260181,0.15499226029409743
Chronos-2,0.2,0,867.8474934895834,1035.8754599654485,0.19677907668855446
Chronos-2,0.2,1,922.0753580729166,1069.5582010214014,0.20907491115665086
Chronos-2,0.2,2,711.75048828125,811.1975070739659,0.16138504168911708
Chronos-2,0.2,3,1138.7288411458333,1243.3567017603182,0.2581997547268301
Chronos-2,0.2,4,777.3310546875,998.8342916453391,0.17625503140844467
Chronos-2,0.2,5,817.35302734375,1088.7942675073484,0.18532976733339895
Chronos-2,0.2,6,613.7747395833334,765.167392261183,0.1391696438095618
Chronos-2,0.2,7,859.8743489583334,1114.7787694128062,0.19497121524868893
Chronos-2,0.2,8,1507.1324869791667,1719.3104908008686,0.3417330135304988
Chronos-2,0.2,9,720.6770833333334,902.3800330683318,0.16340909216515004
Moirai-2,0.0,0,884.1492513020834,1063.652824749825,0.20047539991908608
Moirai-2,0.0,1,973.4300130208334,1054.716045385552,0.22071926302736541
Moirai-2,0.0,2,885.1861979166666,1057.5500073338042,0.2007105211805102
Moirai-2,0.0,3,1729.5380859375,1933.4103316582584,0.39216211396773026
Moirai-2,0.0,4,1916.7345377604167,2071.6345532227197,0.43460775703915216
Moirai-2,0.0,5,977.0022786458334,1214.218506096548,0.22152925226700387
