model,window,day_type,season,forecast_hour,mae,rmse,mase
Moirai-2,4,weekday,summer,0,3128.1438802083335,3512.031706285442,0.7092873680158142
Moirai-2,5,weekday,summer,0,2241.5315755208335,3667.9709844746794,0.508253485904116
Moirai-2,6,weekday,summer,0,966.4015299479166,1340.5193339365417,0.21912559775785076
Moirai-2,7,weekend,summer,0,773.8138020833334,955.8275371620775,0.17545751603262058
Moirai-2,8,weekend,summer,0,2010.4855143229167,2845.5406551837336,0.4558652138446554
Moirai-2,9,weekday,summer,0,1290.06689453125,1613.2488610969897,0.2925147266964794
Moirai-2,10,weekday,summer,0,1600.5120442708333,2072.7612037191793,0.36290625330279375
Moirai-2,11,weekday,summer,0,1321.6061197916667,1768.7030659517732,0.29966605186913386
Moirai-2,12,weekday,summer,0,708.80078125,832.7033039507725,0.16071621377814718
Moirai-2,13,weekday,summer,0,601.8294270833334,691.0317595664047,0.1364611177354072
Moirai-2,14,weekend,summer,0,666.5167643229166,987.4093055034332,0.1511285732399026
Moirai-2,15,weekend,summer,0,1786.0813802083333,2379.371331809399,0.40498295786370603
Moirai-2,16,weekday,summer,0,2160.2555338541665,2962.9440754547854,0.4898246437906726
Moirai-2,17,weekday,summer,0,996.6214192708334,1100.5872337457242,0.22597777162849553
Moirai-2,18,weekday,summer,0,792.0556640625,888.0452702262319,0.17959374593968264
Moirai-2,19,weekday,summer,0,895.0232747395834,1247.5190962021065,0.2029410177931632
Moirai-2,20,weekday,summer,0,1219.9033203125,1315.7844012164833,0.2766055681686162
Moirai-2,21,weekend,summer,0,1630.4856770833333,1866.9039722882799,0.36970259002565403
Moirai-2,22,weekend,summer,0,1246.0387369791667,1386.775502044392,0.2825316130084278
Moirai-2,23,weekday,summer,0,1340.1160481770833,1529.4620108738143,0.30386306418359904
Moirai-2,24,weekday,summer,0,1237.06591796875,1299.1045292805377,0.28049708153439695
Moirai-2,25,weekday,summer,0,1572.5397135416667,1636.2825073432412,0.35656369950733435
Moirai-2,26,weekday,summer,0,745.0177408854166,921.9429122565607,0.16892818642424837
Moirai-2,27,weekday,summer,0,514.0416666666666,616.5588420085923,0.11655578348147463
Moirai-2,28,weekend,summer,0,819.1845703125,959.6657657820022,0.1857450584266034
Moirai-2,29,weekend,summer,0,2409.03759765625,2982.929702349599,0.5462344452579792
TTM,0,weekend,summer,0,2649.7503255208335,3330.1033468180517,0.6008145744762063
TTM,1,weekend,summer,0,5006.173177083333,5129.841872866534,1.1351189499532612
TTM,2,weekday,summer,0,2095.0904947916665,2347.426656684318,0.4750488723385583
TTM,3,weekday,summer,0,3145.2752278645835,3336.365272711693,0.7131717956364696
TTM,4,weekday,summer,0,1308.0068359375,1558.140146233749,0.2965824979722525
TTM,5,weekday,summer,0,1604.67919921875,2786.8352043350974,0.36385113003427105
TTM,6,weekday,summer,0,3094.7848307291665,3353.7716941826625,0.7017234089043772
TTM,7,weekend,summer,0,1202.3828125,1345.1109169001027,0.272632900878197
TTM,8,weekend,summer,0,1616.9578450520833,1913.5409025157164,0.3666352373897624
TTM,9,weekday,summer,0,1220.2054036458333,1974.022607781136,0.27667406370482767
TTM,10,weekday,summer,0,2151.4685872395835,2419.8094143775606,0.4878322577381685
TTM,11,weekday,summer,0,2817.91357421875,3112.363928358356,0.6389445559072363
TTM,12,weekday,summer,0,3515.7156575520835,3655.04301444677,0.7971668826406502
TTM,13,weekday,summer,0,2984.72216796875,3095.9477708504396,0.6767673776680682
TTM,14,weekend,summer,0,978.9168294270834,1126.7440815274947,0.22196336487069745
TTM,15,weekend,summer,0,2291.4060872395835,2954.8357461554083,0.5195622244093635
TTM,16,weekday,summer,0,2007.4793294270833,2570.326110341129,0.45518357992556835
TTM,17,weekday,summer,0,3204.9069010416665,3444.1137956076054,0.7266929104374088
TTM,18,weekday,summer,0,1989.4397786458333,2146.2797128281372,0.4510932228372082
