model,event_type,date,coverage_90,mae,rmse,mase
Moirai-2,extreme_high,2023-07-10,0.625,1525.736328125,1751.462366537792,0.3459513199852625
Moirai-2,extreme_high,2023-07-12,0.9583333333333334,1171.6689453125,1331.722569044146,0.26566872056768065
Moirai-2,extreme_high,2023-07-13,0.9583333333333334,680.5289713541666,779.607666288581,0.15430575492523674
Moirai-2,extreme_high,2023-07-14,0.9583333333333334,282.3623046875,333.57864976070016,0.06402391436845863
Moirai-2,extreme_low,2020-01-26,0.9166666666666666,998.8258463541666,1167.2669901143415,0.22647761189921098
Moirai-2,extreme_low,2020-01-28,0.6666666666666666,1723.3123372395833,2251.800740533002,0.3907504637761223
Moirai-2,extreme_low,2020-02-02,0.875,1171.36279296875,1450.8925506238206,0.265599302408406
Moirai-2,extreme_low,2020-02-03,0.9166666666666666,1161.132568359375,1315.511652659797,0.26327966195538727
Moirai-2,extreme_low,2020-02-09,0.7916666666666666,1282.5008138020833,1424.454410222683,0.2907991644678557
Moirai-2,extreme_low,2020-02-16,1.0,362.4688313802083,437.33667807704103,0.08218757616107909
Moirai-2,extreme_low,2020-02-17,0.75,1399.546142578125,1826.940789247934,0.3173384722379878
TTM,extreme_high,2022-07-19,1.0,3485.3566080729165,3637.869097360586,0.7902831550612442
TTM,extreme_high,2022-07-20,1.0,2627.5384114583335,2737.101734188451,0.5957781596988481
TTM,extreme_high,2023-06-26,1.0,4304.96142578125,4507.418092242438,0.9761235019978142
TTM,extreme_high,2023-06-27,1.0,3636.07470703125,4051.072690707147,0.8244575561809855
TTM,extreme_high,2023-06-28,1.0,2338.7906901041665,2575.2035193196757,0.5303063914097818
TTM,extreme_high,2023-06-29,1.0,1766.5568033854167,1864.5295133813152,0.400555880262203
TTM,extreme_high,2023-07-10,1.0,3121.5686848958335,3437.1358457006368,0.7077964829555392
TTM,extreme_high,2023-07-12,1.0,4083.2418619791665,4254.558285312045,0.9258499558090371
TTM,extreme_high,2023-07-13,1.0,3619.6193033854165,3769.9538565806884,0.8207263947035877
TTM,extreme_high,2023-07-14,1.0,1999.6399739583333,2156.4622623193936,0.4534060543320206
TTM,extreme_low,2020-01-26,0.9583333333333334,2399.0753580729165,2767.8843100545873,0.5439755687599023
TTM,extreme_low,2020-01-28,1.0,1926.0328776041667,2144.458897660204,0.43671609835823844
TTM,extreme_low,2020-02-02,1.0,3204.5096028645835,3424.5227831139587,0.7266028255215188
TTM,extreme_low,2020-02-03,1.0,1551.7677408854167,1801.8092980870501,0.35185378257957883
TTM,extreme_low,2020-02-09,1.0,1929.9591471354167,2175.3030351287207,0.4376063558043747
TTM,extreme_low,2020-02-16,1.0,2347.5929361979165,2684.684339517444,0.5323022465250035
TTM,extreme_low,2020-02-17,0.9583333333333334,2846.5227864583335,3231.6926668559004,0.6454315186645467
Prophet,extreme_high,2022-07-19,1.0,602.9559474018828,749.628364085518,0.1367165492827908
Prophet,extreme_high,2022-07-20,0.3333333333333333,2025.1684226748914,2079.2221130177395,0.4591944729256335
Prophet,extreme_high,2023-06-26,0.9583333333333334,1169.7263240825268,1408.117782482217,0.26522824316254046
Prophet,extreme_high,2023-06-27,0.9583333333333334,1319.184288301314,1535.3526427802653,0.299116916487466
Prophet,extreme_high,2023-06-28,0.9166666666666666,937.480782199641,1120.0757073928985,0.21256799624175376
Prophet,extreme_high,2023-06-29,1.0,1011.5976540380625,1192.7009062861598,0.22937354066841814
Prophet,extreme_high,2023-07-10,0.9166666666666666,1579.5087665370102,1809.554717869903,0.3581438893726102
Prophet,extreme_high,2023-07-12,0.75,1813.5755653145545,2058.1276037499424,0.4112170950826221
Prophet,extreme_high,2023-07-13,0.9583333333333334,917.0795479807997,1045.5090954143552,0.2079421419724187
Prophet,extreme_high,2023-07-14,0.875,1182.597601916884,1571.3668602625285,0.26814672617602753
Prophet,extreme_low,2020-01-26,0.625,3776.0861384834825,4166.173738522173,0.8562042863538529
Prophet,extreme_low,2020-01-28,0.375,3662.056415689358,3964.3340454177755,0.8303487486760812
Prophet,extreme_low,2020-02-02,0.20833333333333334,4240.900600523401,4420.25958418836,0.9615981042283759
Prophet,extreme_low,2020-02-03,0.9166666666666666,1211.4291779890552,1488.1360805179324,0.2746841085635077
Prophet,extreme_low,2020-02-09,0.75,2266.324454516639,3148.221841955233,0.5138751185917079
Prophet,extreme_low,2020-02-16,0.9166666666666666,2267.607423597174,2603.773631068583,0.5141660239327748
Prophet,extreme_low,2020-02-17,0.7916666666666666,2577.179946724347,2932.680029653522,0.5843596878266055
