model,period,window,mae,rmse,mase
Chronos-Bolt,recent_2023,9,2922.4041341145835,3350.8013705857966,0.6626371471208088
Chronos-Bolt,holiday_period,0,569.1476236979166,738.8676880020946,0.1290507200066081
Chronos-Bolt,holiday_period,1,2902.0152994791665,3383.4489730483065,0.6580141043806835
Chronos-Bolt,holiday_period,2,3778.3095703125,6052.0562993651065,0.8567084358336592
Chronos-Bolt,holiday_period,3,13782.02001953125,14891.011105585021,3.1249881974557834
Chronos-Bolt,holiday_period,4,4396.899739583333,6749.804753180344,0.9969699486811261
Chronos-Bolt,holiday_period,5,5963.637532552083,6674.378407665947,1.3522180984151146
Chronos-Bolt,holiday_period,6,3789.7005208333335,4273.05482912228,0.8592912637416844
Chronos-Bolt,holiday_period,7,1892.33447265625,2673.833319067551,0.4290751924833312
Chronos-Bolt,holiday_period,8,5047.250325520833,5551.262992481311,1.1444329404909628
Chronos-Bolt,holiday_period,9,5317.575032552083,6413.988536709935,1.2057274036941936
Chronos-2,normal_summer,0,1231.35595703125,1470.0578673858067,0.2792023830422794
Chronos-2,normal_summer,1,2071.98828125,2627.4213111893096,0.4698105876349734
Chronos-2,normal_summer,2,2023.6070963541667,3220.946253473116,0.45884045179391786
Chronos-2,normal_summer,3,1169.0485026041667,1589.0029347714528,0.2650745513149843
Chronos-2,normal_summer,4,760.4580078125,984.7389085675574,0.17242917189984075
Chronos-2,normal_summer,5,753.55712890625,869.7894727483861,0.17086444008958784
Chronos-2,normal_summer,6,860.2000325520834,1012.9625516275926,0.19504506199866692
Chronos-2,normal_summer,7,374.5862630208333,456.573078725229,0.08493512919080676
Chronos-2,normal_summer,8,2194.2109375,3228.126000966363,0.4975238225382511
Chronos-2,normal_summer,9,3048.8639322916665,4144.062785382878,0.6913111278722507
Chronos-2,covid_lockdown,0,1908.2312825520833,2021.7678799538867,0.43267969626661384
Chronos-2,covid_lockdown,1,797.077880859375,952.826575469599,0.1807325026816593
Chronos-2,covid_lockdown,2,1013.517578125,1109.1380312035972,0.22980887163609837
Chronos-2,covid_lockdown,3,1000.5071614583334,1091.82241699448,0.22685883974892235
Chronos-2,covid_lockdown,4,808.9873046875,1065.1837328396352,0.18343289122039655
Chronos-2,covid_lockdown,5,427.347900390625,503.4513764882476,0.0968985056643122
Chronos-2,covid_lockdown,6,2770.63623046875,4145.362281912703,0.6282247092507638
Chronos-2,covid_lockdown,7,1305.7152506510417,1630.4515531947184,0.2960628951155235
Chronos-2,covid_lockdown,8,933.12255859375,1533.048701683918,0.2115797958682975
Chronos-2,covid_lockdown,9,1835.9893391927083,2501.8177406849027,0.4162992803305329
Chronos-2,winter_storm,0,3143.2032877604165,4128.654342719337,0.7127019959726916
Chronos-2,winter_storm,1,4499.126953125,5573.423239494569,1.020149340042028
Chronos-2,winter_storm,2,1290.0984700520833,1515.830942407197,0.29252188625144976
Chronos-2,winter_storm,3,820.0198567708334,1111.7459594810975,0.1859344544890157
Chronos-2,winter_storm,4,3512.1398111979165,4774.187829793411,0.7963560814927161
Chronos-2,winter_storm,5,11404.636881510416,14312.984436074556,2.585931206055608
Chronos-2,winter_storm,6,2330.1912434895835,2697.9297496774384,0.5283565198280296
Chronos-2,winter_storm,7,2429.8644205729165,2786.462348480431,0.5509567991446265
